,Index_Link,Legal_Name,Town/Suburb,State,Status,Size,ABN,Website,Revenue,Cause/s
48,https://www.acnc.gov.au/charity/charities/134a387a-39af-e811-a963-000d3ad24077/profile,The Spiritual Assembly of the Baha'is of Whittlesea,Unavailable,Unavailable,Registered,Small,72422961498,,,
49,https://www.acnc.gov.au/charity/charities/504b387a-39af-e811-a963-000d3ad24077/profile,U3A Bairnsdale And District Inc,Bairnsdale,VIC,Registered,Small,42764828242,,,
50,https://www.acnc.gov.au/charity/charities/e265dc73-39af-e811-a963-000d3ad24077/profile,Christian Assembly Devon Park,North Adelaide,SA,Registered,Small,72252028020,,,
51,https://www.acnc.gov.au/charity/charities/f7e4e56d-39af-e811-a963-000d3ad24077/profile,The Trustee For Rotary Club Of Mount Eliza Community Trust Fund,Mount Eliza,VIC,Registered,Small,24820824929,,,
52,https://www.acnc.gov.au/charity/charities/1de6e56d-39af-e811-a963-000d3ad24077/profile,The Uniting Church In Australia Mclaren Flat Memorial Wall,Mclaren Flat,SA,Registered,Small,25013309943,,,
53,https://www.acnc.gov.au/charity/charities/3467dc73-39af-e811-a963-000d3ad24077/profile,Walcha Parents & Citizens Association Canteen Committee,Walcha,NSW,Registered,Small,48048571787,,,
54,https://www.acnc.gov.au/charity/charities/fee9e56d-39af-e811-a963-000d3ad24077/profile,Parkfield Primary School Parents And Citizens Association Inc,Australind,WA,Registered,Small,24934895156,,,
55,https://www.acnc.gov.au/charity/charities/4b612e80-39af-e811-a963-000d3ad24077/profile,Cambewarra Public School Parents And Citizens Association,Cambewarra,NSW,Registered,Small,53116032719,,,
56,https://www.acnc.gov.au/charity/charities/8349387a-39af-e811-a963-000d3ad24077/profile,Anglican Trusts Corporation Of The Diocese Of Gippsland,Heyfield,VIC,Registered,Small,72553103637,,,
57,https://www.acnc.gov.au/charity/charities/5d4a387a-39af-e811-a963-000d3ad24077/profile,Catholic Parish Of St Mary Of The Angels Bundarra,Armidale,NSW,Registered,Small,19089070027,,,
58,https://www.acnc.gov.au/charity/charities/984d387a-39af-e811-a963-000d3ad24077/profile,"The Serbian Orthodox Church School Congregation ""Sveti Nikola""",Richlands,QLD,Registered,Small,18857585694,,,
59,https://www.acnc.gov.au/charity/charities/e6c60355-39af-e811-a963-000d3ad24077/profile,World Day Of Prayer Australia New South Wales Committee,Faulconbridge,NSW,Registered,Small,12147595929,,,
60,https://www.acnc.gov.au/charity/charities/5461dc73-39af-e811-a963-000d3ad24077/profile,Faith Tabernacle Bible Church,Minto,NSW,Registered,Small,47866434367,,,
61,https://www.acnc.gov.au/charity/charities/f0dc0355-39af-e811-a963-000d3ad24077/profile,Italian Assembly Of God Pentecostal Church Inc.,Glen Waverley,VIC,Registered,Small,85242281936,,,
62,https://www.acnc.gov.au/charity/charities/16ebe56d-39af-e811-a963-000d3ad24077/profile,Platon Teaching School Inc,Mill Park,VIC,Registered,Small,67643287599,,,
63,https://www.acnc.gov.au/charity/charities/524b387a-39af-e811-a963-000d3ad24077/profile,The Trustee For The Gill Family Foundation,Melbourne,VIC,Registered,Small,18851564106,,,
64,https://www.acnc.gov.au/charity/charities/5f4a387a-39af-e811-a963-000d3ad24077/profile,Roger Rasheed Sports Foundation Inc,Burnside,SA,Registered,Small,42776812192,,,
65,https://www.acnc.gov.au/charity/charities/b149387a-39af-e811-a963-000d3ad24077/profile,St Andrews Anglican Church Cronulla,Cronulla,NSW,Registered,Small,72558425483,,,
66,https://www.acnc.gov.au/charity/charities/d74a387a-39af-e811-a963-000d3ad24077/profile,Bendemeer P&C Association Incorporated,Bendemeer,NSW,Registered,Small,42764672754,,,
67,https://www.acnc.gov.au/charity/charities/db4a387a-39af-e811-a963-000d3ad24077/profile,Uca - Nambucca Heads,Nambucca Heads,NSW,Registered,Small,42692033989,,,
