,ABN,Index_Link,Legal_Name,Town/Suburb,State,Status,Size,website,revenue,expenses,causes,lastreport,religious_ref,Number_of_Responsible_Persons,Registration_Date,Date_Organisation_Established
4641,32603316696,https://www.acnc.gov.au/charity/charities/b4f9d255-3aaf-e811-a95e-000d3ad24c60/profile,Ballarat Anglican Diocesan Corporation Ltd,Ballarat,VIC,Registered,Medium,http://www.ballaratanglican.org.au/,2162899.0,2063456.0,General community in Australia,17 Jan 2022,1.0,22.0,04/02/2015,15/01/2015
4642,65708132794,https://www.acnc.gov.au/charity/charities/2ffcd255-3aaf-e811-a95e-000d3ad24c60/profile,Pindari Ministries (Inc),Bedfordale,WA,Registered,Medium,https://www.pindariministries.org.au/,428741.0,323117.0,Aboriginal and Torres Strait Islander people; Adults - aged 25 to under 65; Adults - aged 65 and over; Financially disadvantaged people; Males; People at risk of homelessness/ people experiencing homelessness; People in rural/regional/remote communities; Unemployed persons; Victims of crime (including family violence); Youth - 15 to under 25,20 Dec 2021,1.0,8.0,19/03/2015,01/12/2015
4643,81200913992,https://www.acnc.gov.au/charity/charities/c723d94f-3aaf-e811-a95e-000d3ad24c60/profile,Lutheran Church of Australia Queensland District,Murrumba Downs,QLD,Registered,Medium,,681660.0,473392.0,"Aboriginal and Torres Strait Islander people; Children - aged 6 to under 15; Families; Females; Financially disadvantaged people; Males; Migrants, refugees or asylum seekers; People from a culturally and linguistically diverse background; People with disabilities; Unemployed persons",15 Jun 2022,1.0,19.0,01/01/2015,01/07/2005
4644,56602544810,https://www.acnc.gov.au/charity/charities/a719c361-3aaf-e811-a95e-000d3ad24c60/profile,Of One Mind Limited,Coorparoo,QLD,Registered,Medium,http://www.wowaustralia.com.au/,707097.0,601343.0,"Aboriginal and Torres Strait Islander people; Adults - aged 25 to under 65; Adults - aged 65 and over; Families; Females; Financially disadvantaged people; Gay, lesbian, bisexual, transgender or intersex persons; Males; Migrants, refugees or asylum seekers; People at risk of homelessness/ people experiencing homelessness; People from a culturally and linguistically diverse background; People in rural/regional/remote communities; Youth - 15 to under 25",22 Aug 2022,0.0,9.0,09/04/2015,27/10/2014
4645,79601218991,https://www.acnc.gov.au/charity/charities/a320e149-3aaf-e811-a95e-000d3ad24c60/profile,Christians for Justice Ltd,Newtown,NSW,Registered,Medium,http://www.commongrace.org.au/,530320.0,426499.0,Aboriginal and Torres Strait Islander people; Adults - aged 25 to under 65; Adults - aged 65 and over; Environment; Females; People at risk of homelessness/ people experiencing homelessness; Victims of crime (including family violence); Youth - 15 to under 25,27 Jan 2022,1.0,6.0,13/08/2014,13/08/2014
4646,77169082384,https://www.acnc.gov.au/charity/charities/25ede643-3aaf-e811-a95e-000d3ad24c60/profile,MAHAMEVNAWA BUDDHIST MONASTERY OF MELBOURNE,Mount Evelyn,VIC,Registered,Medium,http://www.mahamevnawa.org.au/,761889.0,120039.0,Adults - aged 25 to under 65; Adults - aged 65 and over; Children - aged 6 to under 15; Families; Females; Financially disadvantaged people; General community in Australia; Males; People from a culturally and linguistically diverse background; People with chronic illness (including terminal illness); People with disabilities; Unemployed persons; Victims of crime (including family violence); Victims of disaster; Youth - 15 to under 25,3 Jan 2022,1.0,16.0,28/04/2014,05/06/2010
4647,49112732885,https://www.acnc.gov.au/charity/charities/00fad255-3aaf-e811-a95e-000d3ad24c60/profile,Prosper (Project Australia) Incorporated,Strathfield South,NSW,Registered,Medium,http://www.prosperprojectaustralia.org/,388284.0,386504.0,Aboriginal and Torres Strait Islander people; Adults - aged 25 to under 65; Adults - aged 65 and over; Children - aged 6 to under 15; Early childhood - aged under 6; Families; Females; Financially disadvantaged people; Males; People at risk of homelessness/ people experiencing homelessness; People from a culturally and linguistically diverse background; Youth - 15 to under 25,30 Nov 2021,0.0,6.0,16/04/2015,09/10/2014
4648,24004864797,https://www.acnc.gov.au/charity/charities/0cefe643-3aaf-e811-a95e-000d3ad24c60/profile,LITTLE ST. MARGARETS LTD,Malvern,VIC,Registered,Medium,http://www.littlestmargarets.com.au/,596821.0,630138.0,Early childhood - aged under 6,18 Mar 2022,0.0,8.0,03/12/2012,28/01/1971
4649,58605679669,https://www.acnc.gov.au/charity/charities/519bc95b-3aaf-e811-a95e-000d3ad24c60/profile,Sport & Life Training Ltd,Heathmont,VIC,Registered,Medium,http://sportandlifetraining.com.au/,740816.0,790207.0,Adults - aged 25 to under 65; Youth - 15 to under 25,27 May 2021,0.0,5.0,06/05/2015,06/05/2015
4650,67600518223,https://www.acnc.gov.au/charity/charities/f696c95b-3aaf-e811-a95e-000d3ad24c60/profile,Attitude Foundation Limited,Unavailable,Unavailable,Registered,Medium,http://www.attitude.org.au/,561909.0,510261.0,People with disabilities,31 Jan 2022,0.0,13.0,09/07/2014,07/03/2014
4651,29607287767,https://www.acnc.gov.au/charity/charities/ec73bb67-3aaf-e811-a95e-000d3ad24c60/profile,Koala Kids Foundation Limited,Hawthorn,VIC,Registered,Medium,http://koalakids.org.au/,456394.0,270940.0,Children - aged 6 to under 15; Early childhood - aged under 6; Families; People in rural/regional/remote communities; People with chronic illness (including terminal illness); Youth - 15 to under 25,18 Jan 2022,0.0,7.0,10/08/2015,27/07/2015
4652,50605113282,https://www.acnc.gov.au/charity/charities/4296c95b-3aaf-e811-a95e-000d3ad24c60/profile,Alive Project Ltd,Loganholme,QLD,Registered,Medium,http://www.alive.org.au/,440606.0,433050.0,"Aboriginal and Torres Strait Islander people; Adults - aged 25 to under 65; Children - aged 6 to under 15; Families; Females; Gay, lesbian, bisexual, transgender or intersex persons; Males; People from a culturally and linguistically diverse background; People in rural/regional/remote communities; People with disabilities; Youth - 15 to under 25",10 Dec 2021,0.0,11.0,09/04/2015,01/04/2015
4653,57605192710,https://www.acnc.gov.au/charity/charities/bb9ac95b-3aaf-e811-a95e-000d3ad24c60/profile,Reflections Through Reality Limited,Subiaco,WA,Registered,Medium,,360356.0,142479.0,Aboriginal and Torres Strait Islander people; Adults - aged 25 to under 65; Adults - aged 65 and over; Families; Females; General community in Australia; Males; People in rural/regional/remote communities; People with chronic illness (including terminal illness); Veterans and/or their families,12 Jan 2022,0.0,8.0,10/04/2015,04/09/2015
4654,96496739161,https://www.acnc.gov.au/charity/charities/3d29c361-3aaf-e811-a95e-000d3ad24c60/profile,South Gippsland Bass Coast Local Learning and Employment Network Inc.,Leongatha,VIC,Registered,Medium,http://sgbcllen.org.au/,503926.0,489192.0,Children - aged 6 to under 15; People in rural/regional/remote communities; People with disabilities; Youth - 15 to under 25,22 Jul 2022,0.0,12.0,01/01/2015,29/08/2001
4655,18694254422,https://www.acnc.gov.au/charity/charities/8097c95b-3aaf-e811-a95e-000d3ad24c60/profile,Thomas O'Toole Foundation,Warrnambool,VIC,Registered,Medium,http://www.sinclairwilson.com.au/,405638.0,334877.0,Adults - aged 25 to under 65; Adults - aged 65 and over; Children - aged 6 to under 15; Families; Females; Financially disadvantaged people; Males; People at risk of homelessness/ people experiencing homelessness; People in rural/regional/remote communities; People with disabilities; Youth - 15 to under 25,28 Jan 2022,0.0,5.0,13/04/2015,23/01/2014
4656,41308822305,https://www.acnc.gov.au/charity/charities/d02ac361-3aaf-e811-a95e-000d3ad24c60/profile,Cheltenham Cat Rescue Inc,Cheltenham,VIC,Registered,Medium,http://www.cheltenhamcatrescue.org.au/,353629.0,352579.0,"Aboriginal and Torres Strait Islander people; Animals; Families; Females; Financially disadvantaged people; Gay, lesbian, bisexual, transgender or intersex persons; Males; Migrants, refugees or asylum seekers; People from a culturally and linguistically diverse background; People in rural/regional/remote communities; Unemployed persons; Victims of crime (including family violence)",22 Mar 2021,0.0,1.0,29/08/2015,16/06/2015
4657,31604242015,https://www.acnc.gov.au/charity/charities/3870bb67-3aaf-e811-a95e-000d3ad24c60/profile,Indel-Ability Arts Ltd,Greenslopes,QLD,Registered,Medium,http://www.indelabilityarts.com/,428096.0,344312.0,Adults - aged 25 to under 65; People with chronic illness (including terminal illness); People with disabilities; Youth - 15 to under 25,17 May 2022,0.0,4.0,01/09/2015,16/02/2015
4658,69770965792,https://www.acnc.gov.au/charity/charities/e228c361-3aaf-e811-a95e-000d3ad24c60/profile,The Trustee for Tiy Loy Charitable Scheme,Sydney,NSW,Registered,Medium,http://www.tiyloy.org/,329464.0,606329.0,People from a culturally and linguistically diverse background,1 Dec 2021,0.0,8.0,23/07/2014,15/06/2015
4659,98604737733,https://www.acnc.gov.au/charity/charities/5472bb67-3aaf-e811-a95e-000d3ad24c60/profile,Micah Australia Limited,Surry Hills,NSW,Registered,Medium,http://www.micahaustralia.org/,497204.0,473033.0,Overseas communities or charities,10 Dec 2021,1.0,11.0,01/07/2015,01/07/2005
4660,58523408742,https://www.acnc.gov.au/charity/charities/2317c361-3aaf-e811-a95e-000d3ad24c60/profile,BENDIGO PRE SCHOOL INC,Bendigo,VIC,Registered,Medium,http://bendigopreschool.org.au/,285337.0,263811.0,Early childhood - aged under 6; Families,31 Aug 2020,0.0,7.0,03/12/2012,01/01/1947
4661,29181575231,https://www.acnc.gov.au/charity/charities/167cbb67-3aaf-e811-a95e-000d3ad24c60/profile,Cat Adoption Foundation (CAF) Incorporated,Norwood,SA,Registered,Medium,http://www.cafinc.org.au/,603667.0,550903.0,Aboriginal and Torres Strait Islander people; Adults - aged 25 to under 65; Adults - aged 65 and over; Animals; Children - aged 6 to under 15; Early childhood - aged under 6; Environment; Families; Females; Financially disadvantaged people; General community in Australia; Males; Other charities; People at risk of homelessness/ people experiencing homelessness; People from a culturally and linguistically diverse background; People in rural/regional/remote communities; People with chronic illness (including terminal illness); People with disabilities; Pre/post release offenders and/or their families; Unemployed persons; Veterans and/or their families; Victims of crime (including family violence); Youth - 15 to under 25,2 Apr 2022,0.0,7.0,01/09/2015,01/09/2015
4662,13443609138,https://www.acnc.gov.au/charity/charities/1283bb67-3aaf-e811-a95e-000d3ad24c60/profile,Whiskey's Wish Inc,Eatons Hill,QLD,Registered,Medium,http://www.whiskeyswish.org.au/,367578.0,247054.0,Aboriginal and Torres Strait Islander people; Adults - aged 25 to under 65; Adults - aged 65 and over; Females; Males; People in rural/regional/remote communities; People with disabilities; Veterans and/or their families; Youth - 15 to under 25,25 May 2022,0.0,14.0,21/05/2015,21/05/2015
4663,88125007865,https://www.acnc.gov.au/charity/charities/3f2bc361-3aaf-e811-a95e-000d3ad24c60/profile,Australian Jewish Funders Limited,Richmond,VIC,Registered,Medium,http://ajf.org.au/,862246.0,707966.0,Adults - aged 25 to under 65; Adults - aged 65 and over; Families; General community in Australia; People from a culturally and linguistically diverse background; Youth - 15 to under 25,19 May 2022,0.0,10.0,26/09/2019,20/04/2007
4664,32594309399,https://www.acnc.gov.au/charity/charities/926fe6e2-2daf-e811-a95e-000d3ad24c60/profile,Inka Inc.,Lake Clifton,WA,Registered,Medium,http://www.inkarespite.com/,883078.0,879485.0,Aboriginal and Torres Strait Islander people; Adults - aged 25 to under 65; Children - aged 6 to under 15; Families; Females; General community in Australia; Males; People in rural/regional/remote communities; People with disabilities; Youth - 15 to under 25,30 May 2022,0.0,10.0,03/12/2012,01/01/2010
